job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,job_posting_month,job_posting_year,hiring_urgency,job_openings,salary
4,3,0,5,1,1,12,0,1,1,1,1,0,2,2024,0,5,102352
3,3,4,4,1,2,1,1,1,0,0,1,0,12,2024,1,5,110382
0,0,5,5,2,2,2,0,0,0,1,0,1,1,2022,1,3,166652
0,2,1,6,0,2,6,0,0,1,1,0,0,11,2024,1,5,153730
5,0,1,1,1,1,5,0,0,0,1,0,0,10,2023,0,8,126960
3,3,4,5,0,1,6,2,1,1,1,0,0,11,2022,0,8,87454
4,0,3,6,1,0,10,1,1,1,0,0,0,3,2026,2,4,54094
4,1,5,1,2,0,0,0,1,1,0,0,1,5,2024,1,3,77490
3,3,3,0,2,1,2,2,1,1,1,1,1,12,2021,0,5,111999
4,1,4,0,2,1,2,2,0,1,1,1,0,7,2022,0,8,128733
4,1,2,1,2,2,12,0,1,1,0,1,1,4,2022,0,9,148448
5,0,2,3,0,1,14,1,1,0,0,1,0,3,2022,2,2,127092
3,1,3,6,1,1,11,1,1,1,1,1,1,2,2026,0,8,132555
2,1,1,0,1,2,12,1,0,0,0,0,0,5,2024,0,9,120789
1,0,0,5,2,0,14,1,0,0,0,1,1,6,2023,2,4,75575
0,1,3,0,0,1,7,0,0,1,1,0,1,2,2023,0,7,161919
3,2,3,3,1,2,11,0,0,0,0,0,0,6,2025,2,2,98167
4,0,3,6,0,0,12,0,1,0,0,0,0,11,2021,2,3,49232
0,1,5,3,1,2,2,0,0,1,1,1,1,10,2024,0,3,203662
4,1,4,6,1,1,6,2,0,0,0,0,0,12,2022,1,1,93607
4,1,2,0,2,0,2,2,1,0,1,0,0,7,2023,1,6,85423
4,0,3,0,1,0,8,2,0,1,0,0,1,6,2022,2,2,59424
3,1,1,6,2,2,12,0,1,0,1,1,0,12,2025,0,4,152170
0,1,0,2,0,1,3,0,0,1,0,0,0,6,2021,0,9,134213
1,1,0,3,0,0,5,0,1,1,1,0,1,3,2026,1,3,98088
3,3,5,0,2,2,3,0,1,1,1,1,0,12,2026,0,4,129214
4,1,5,3,1,1,9,0,0,0,1,0,1,5,2020,2,5,119063
4,0,3,4,2,1,4,2,1,0,0,1,0,11,2020,1,3,89552
4,1,0,0,1,2,8,0,0,1,1,1,0,4,2021,0,7,154433
4,0,0,2,0,2,11,2,1,0,0,0,1,9,2021,0,7,105025
2,3,4,5,2,0,14,2,1,0,0,0,0,6,2023,2,4,45215
4,0,2,0,0,1,1,0,0,1,1,0,0,1,2021,0,8,90685
3,0,3,4,2,1,13,0,0,1,1,1,1,3,2025,0,2,111932
3,3,5,1,1,0,10,0,0,1,0,0,1,8,2022,2,6,64467
5,2,2,2,1,0,1,0,0,0,0,1,1,12,2022,1,2,119475
1,0,0,3,2,2,4,2,1,1,1,0,1,4,2026,0,8,123423
3,3,4,4,2,2,5,1,0,1,1,0,0,12,2023,1,4,111636
5,0,4,1,0,1,7,2,1,0,1,0,0,3,2023,0,9,129444
1,3,3,2,2,1,10,2,1,0,0,1,0,3,2023,0,7,88824
0,3,1,5,1,0,10,2,1,1,0,1,0,4,2024,2,4,104956
2,2,5,6,0,0,9,1,0,1,1,0,1,5,2021,0,9,74200
4,3,1,3,2,0,3,0,0,1,0,1,0,12,2021,1,5,66242
2,0,0,2,1,2,6,2,1,1,0,0,1,4,2026,1,4,114065
5,1,0,1,2,2,13,2,1,1,0,0,1,1,2022,2,3,167468
2,1,0,2,0,0,3,1,0,1,0,0,0,4,2026,1,5,72415
1,3,1,1,0,0,12,0,0,1,1,1,0,8,2026,0,9,84865
3,3,0,2,1,2,14,1,1,1,1,1,0,5,2024,0,4,128240
5,2,1,0,2,0,2,2,1,0,1,1,0,7,2025,0,6,118811
1,2,0,6,1,2,9,2,1,1,0,1,0,11,2021,0,9,119168
3,3,2,2,1,0,4,2,0,1,0,0,0,4,2020,0,9,47610
4,0,3,4,1,2,0,1,0,0,1,0,0,2,2022,0,9,113664
4,3,2,1,0,1,2,0,0,0,0,1,1,1,2020,0,7,99287
2,2,5,2,0,0,10,2,1,0,1,1,1,2,2024,0,1,86293
0,1,4,1,1,1,0,0,0,1,0,0,0,6,2024,1,5,136426
3,0,4,2,1,2,8,1,1,0,1,1,0,3,2020,0,2,128093
1,1,1,4,1,1,2,2,0,1,1,1,1,12,2025,0,1,130112
1,0,0,5,2,1,4,0,0,1,1,0,1,2,2020,0,8,98104
2,2,0,5,0,1,6,2,1,0,0,1,1,7,2022,0,7,104741
3,3,5,1,0,2,8,1,0,1,1,1,0,10,2024,0,1,125517
0,2,2,1,0,1,0,0,0,0,1,0,0,9,2022,1,3,131241
5,1,3,0,0,1,6,2,0,0,0,0,1,6,2023,1,4,142600
0,0,5,5,1,1,4,1,1,1,0,1,0,6,2020,0,9,132519
2,1,4,2,0,0,2,0,1,0,1,0,0,5,2022,1,6,82994
3,1,3,0,2,0,0,0,0,1,0,0,0,1,2021,1,4,65082
0,3,0,0,0,1,0,1,1,1,0,1,1,11,2024,1,3,136779
4,1,5,1,1,0,9,2,0,1,1,0,0,10,2021,0,9,89256
0,3,2,1,1,2,14,2,0,0,1,0,0,2,2022,2,2,158252
3,2,2,5,0,1,9,2,1,1,0,0,1,6,2020,0,8,81993
2,2,4,0,0,0,12,0,1,0,0,0,0,5,2020,2,1,54909
5,1,4,1,0,0,10,1,0,1,1,1,1,5,2026,0,4,150738
0,2,3,4,0,2,8,1,0,1,1,1,0,12,2026,0,6,173003
4,0,4,0,0,1,0,0,1,1,0,1,0,10,2023,1,5,87032
1,2,4,1,1,2,3,2,0,0,1,1,1,7,2020,0,8,139841
1,3,3,2,2,0,13,2,1,0,1,0,1,1,2020,2,1,72854
1,3,2,0,1,0,6,2,1,0,1,0,1,7,2022,0,7,76219
3,3,1,6,2,2,6,0,0,1,1,1,0,1,2026,0,7,130164
1,2,0,0,0,1,5,1,0,1,0,1,0,10,2021,1,3,92117
0,0,5,3,2,1,13,2,0,0,0,1,0,12,2022,2,3,128453
1,3,2,0,2,2,9,2,1,0,1,0,0,6,2020,2,2,115618
5,3,0,6,2,0,6,0,1,1,1,0,0,10,2020,1,5,105126
1,3,2,0,2,2,10,0,0,0,0,0,0,12,2020,0,9,98893
4,3,2,0,2,2,5,2,0,0,1,0,0,9,2024,1,3,115057
2,0,0,0,0,0,2,1,1,1,1,1,1,12,2026,0,6,87565
4,1,5,4,2,0,1,0,1,0,0,1,0,11,2021,1,4,86079
1,0,4,5,0,1,6,2,1,1,0,1,1,1,2020,1,2,104277
0,0,5,3,2,2,3,0,1,0,1,1,0,10,2023,0,7,174695
4,0,0,5,2,2,11,2,0,0,1,1,0,3,2024,0,1,125990
5,1,3,1,2,1,9,1,1,1,0,0,0,8,2022,2,6,132575
4,1,0,5,0,1,11,1,1,1,0,0,1,2,2021,2,1,103801
0,0,3,4,0,1,13,0,1,0,0,0,1,1,2025,2,3,126204
1,1,5,1,0,1,10,0,1,0,1,1,0,4,2026,0,5,129166
3,1,5,3,2,0,4,0,0,1,1,0,0,5,2023,1,3,85710
3,2,1,6,0,2,12,2,0,1,0,1,1,1,2025,2,2,122378
1,1,1,5,1,0,10,2,1,0,1,0,0,1,2022,2,3,86396
0,0,4,1,1,1,13,2,0,1,1,0,0,8,2021,2,6,125165
4,1,5,4,1,2,2,1,0,1,0,0,0,3,2022,1,3,115067
5,2,0,5,2,2,7,2,0,1,1,0,1,11,2024,1,5,163262
2,3,5,3,0,0,3,1,1,0,1,0,1,7,2025,1,2,73226
5,1,4,1,2,2,10,0,0,0,0,1,1,4,2020,2,6,186982
0,2,1,3,1,0,13,0,1,1,1,1,1,11,2022,0,1,133566
0,1,1,2,0,1,11,2,1,1,1,0,0,1,2025,2,2,153996
5,1,1,3,1,2,3,1,1,0,1,1,1,4,2023,0,1,199735
3,2,4,4,2,2,7,2,1,0,0,0,1,5,2021,0,9,107259
4,0,2,4,1,0,13,1,1,1,0,0,0,10,2025,2,1,48856
1,0,1,5,0,1,11,2,1,1,0,1,1,10,2023,2,6,97775
1,1,4,1,0,0,7,2,0,1,1,1,0,10,2026,0,8,104275
0,3,5,1,2,0,5,1,1,0,1,1,1,11,2023,0,8,132542
3,1,1,1,0,1,7,1,0,1,1,1,1,1,2026,0,7,133216
5,3,3,1,0,0,12,1,0,1,1,0,1,10,2026,0,8,118080
1,3,2,2,0,2,1,0,0,1,0,0,1,12,2026,1,6,106234
4,0,3,4,1,2,13,0,1,0,0,0,0,3,2024,2,5,100509
4,1,3,0,1,1,7,2,0,0,1,0,1,12,2024,1,6,121263
3,0,5,5,2,1,5,1,1,0,1,1,0,3,2021,0,8,109421
2,1,4,2,2,2,12,2,0,0,1,1,0,10,2023,0,9,149820
3,1,0,1,1,1,0,1,1,1,0,0,1,1,2021,1,4,103968
5,0,0,4,0,2,14,1,0,0,0,0,0,7,2021,0,9,136724
3,2,2,0,1,0,12,1,1,1,1,0,0,7,2020,2,5,61647
2,1,2,2,0,2,6,0,1,1,1,0,0,6,2026,1,4,132696
4,1,4,5,0,0,11,2,0,0,1,0,0,11,2025,0,8,88263
0,3,4,3,0,2,6,2,0,0,0,0,1,8,2026,1,5,148924
3,2,3,0,2,0,5,2,1,0,0,0,0,5,2022,0,8,54008
5,0,4,4,1,0,2,1,1,1,1,1,1,4,2023,0,7,132538
3,2,2,5,0,0,0,1,0,1,0,1,1,12,2022,1,3,75305
3,1,4,2,2,1,7,1,0,0,1,1,1,12,2022,0,2,134005
4,0,5,4,1,1,8,0,0,1,0,1,1,10,2023,2,6,96096
5,0,4,1,1,1,0,2,0,0,1,0,0,2,2023,1,2,127398
0,0,5,4,1,0,8,1,1,1,0,1,0,4,2025,0,9,105552
